TOPIC,Türkçe,English
abstract,-adında,was called  (arch)
abstract,-ait olmak,"belong to, regard, relate"
abstract,-anlamına gelmek,"imply, infer sth, signify, connote, denote"
abstract,-başta gelmek,come first
abstract,-belir,"arise, appear, evince"
abstract,-belirt,"denote, designate, evince, imply, manifest"
abstract,-belirt,"indicate, point out, show"
abstract,-belirt,"name, signify, state, define, enumerate"
abstract,-belli olacak,become clear
abstract,-birinci gelmek,come first
abstract,-bulun,"to be found at, be, have, exist, stand, be situated, reside"
abstract,-denir,are called
abstract,-denk gel,"balance, come across, come up to, suitable, work out at"
abstract,-doğ,"born, birth"
abstract,-et {eder},do/make + x [activated aux]
abstract,-evril,evolve
abstract,-eyle,make  [aux] (arch)?
abstract,-gel,"arise, be born"
abstract,-gel,derive
abstract,-gerçekleş,"happen, occur"
abstract,-gerçekleş,"materialize, substantiate, actualize, come true, to take place"
abstract,-gerçekle,"substantiate, verify"
abstract,-gerçek olmak,"become real, reality"
abstract,-hale gelmek,"become, get [change in state]"
abstract,-ibaret olmak,consist of
abstract,-isabet etmek,"hit, strike"
abstract,-işe yaramak,"be useful, some in handy, serve purpose"
abstract,-kıl,"to make, do [aux] (arch)"
abstract,-neden olmak,"caused, led to, became"
abstract,-neden ol,"produce, create, bring, beget, engender, provoke"
abstract,-neden ol,to cause sth
abstract,-ol,"be, become, happen"
abstract,-ol,"become, happen, have"
abstract,-oldu,"became, happened"
abstract,-ol,"to become, happen"
abstract,-olun,to be
abstract,-oluştur,"compose, create, forge, form, generate"
abstract,-ortaya çıkmak,to appear
abstract,-sağladığı,providing to
abstract,-sonuçlan,"turn out, work out, come out, culminate, end up"
abstract,-temsil etmek,represents
abstract,-yol açmak,"bring about, call forth, leads to, entails"
abstract,-benz,resemble
abstract,-çabala,try
abstract,-cesaret etmek,"dare, venture"
abstract,-değiştirebilir,can change
abstract,-durdurabilmek,to be able to stop
abstract,-erişe,"reach, get to"
abstract,-erişilebilir,accessible
abstract,-erişilebilir,"achievable, reachable"
abstract,-gel,suit
abstract,-gerek,"needed, necessary"
abstract,-hata yapmak,make a mistake
abstract,-hayatını kaybet,"lose life, die, pass away"
abstract,-ilerle,"advance, progress, develop, improve, headway"
abstract,-ilerle,"progress, advance, proceed, go ahead with"
abstract,-kaçır,miss [time]
abstract,-karış,"be mixed up, jumbled"
abstract,-karşıla,"answer, satisfy, supply, make amends, compensate"
abstract,-karşıla,"fulfil, recoup"
abstract,-kavuştur,"regain, get again"
abstract,-kolaylaştır,make easy
abstract,-kolaylaştır,"simplify, make easier, streamline"
abstract,-koru,"conserve, preserve, save, shelter"
abstract,-sağlamayacak,will not provide
abstract,-ulaş,"reach, achieve"
abstract,-uy,"match, fit, agree, coincide"
abstract,-yaşa,"experience, subsist, taste"
actions,-bağlan,"connect, join"
actions,-başla,to start at [dativ]
actions,-bit,"to end, finish"
actions,-bitir,"finish off, make sth end"
actions,-bul,to find
actions,-çek,"to take a photo, fotoğraf"
actions,-çek,"pull, attract"
actions,-çek,"take after, carry, hold, catch"
actions,-çıkarırı,"take off, remove sth"
actions,-durdur,stop sth
actions,-dur,"stand, stop, idle"
actions,-et,"do, make, get, take, practice"
actions,-gel,bring
actions,-gel,come
actions,-gel,to come
actions,-gel,"strike, fall on"
actions,-geri bırak,"set back, leave behind"
actions,-ilgilen,dabble in / with
actions,-isabet etmek,"hit, strike"
actions,-it,to push
actions,-oynat,"fool, make play, wriggle"
actions,-sok,"insert, thrust, drive, enter, inject"
actions,-veril,to be given
actions,-ver,to give to [dativ accus]
actions,-vur,"piga, hit, beat, clap, knock"
actions,-vur,"shoot, smash, bust"
actions,-yakala,"seize, catch, get hold of, grab, hook, intercept, nab"
actions,-yakış,"befit, fit, suit, looks good on"
actions,-yanına almak,take along sth
actions,-yeniden başlamak,"resume, restart"
auditory,-alkışla,"applaud, acclaim, clap, cheer"
auditory,-bağır,"shout, scream, bellow, roar, bark at, holler"
auditory,-çal,"knock, blow"
auditory,-çal,play {instrument]
auditory,-çal,play [music]
auditory,-çal,ring [bell]
auditory,-çığlık atmak,"cry out, scream"
auditory,-cızırda,make sizzling sound
auditory,-dinle,listen
auditory,-duy,"hear, feel"
auditory,-havla,to woof like dog [< hav]
auditory,-işit,hear
auditory,-miyavla,to meow like cat [< miyav]
auditory,-müzik çalmak,"play music, rock music, perform music"
auditory,-müzik dinlemek,listen to music
auditory,-öksür,"cough, bark"
auditory,-seslen,"shout out, call out, address, yell"
auditory,-sustur,to cause to be silent
auditory,-zikrini söylemek,chant
authority,-baş etmek,"deal, manage, cope with sth"
authority,-buyur,"decree, order, rule, command  (archaic)"
authority,-dava açmak,to sue sby  (lgl)
authority,-görevlendir,"assign, nominate, deploy, commission, entrust with"
authority,-hak etmek,deserve
authority,-hapset,"confine, imprison, incarcerate, jail, detain, lockup, restrain"
authority,-ihmal etmek,"neglect, forget, ignore, disregard"
authority,-iptal etmek,cancel sth
authority,-iptal etmek,cancel  (tech)
authority,-işgal etmek,occupy
authority,-izin ver,"let, allow"
authority,-kaldır,"abolish, abrogate, annul, dismantle, remove, rescind, cancel, do away with,"
authority,-kuralları uygula,follow the rules
authority,-onayla,"approve, confirm, ratify, acknowledge, validate"
authority,-oy vermek,vote
authority,-şart koş,"stipulate, set conditions, qualify"
authority,-tutukla,"arrest, jail, apprehend, imprison"
authority,-tutuklan,be arrested
authority,-uygula,"apply, carry out, administer, deploy"
authority,-uygula,"dispense, exert, impart, perform, realize"
authority,-uyul,"to be obeyed, to be followed [rules, etc]"
authority,-yönet,to manage
authority,-benimsen,"be adopted [concept, rule, person]"
authority,-dinle,"heed, regard, follow"
authority,-etkile,"affect, influence, sway"
authority,-etkile,"impress, influence, penetrate, pierce"
authority,-kontrol etmek,"check sth, control sth, test, audit"
authority,-korun,"protect, guard, defend self"
authority,-koru,"protect, defend, guard"
authority,-kov,"dismiss, banish, drive out, eject, disloge, exile, fire, get rid of"
