>> aali hupatikana kwa ghali. --	whatever is superior is found at great price. advice given to youth.
>> abadani: mungu huijua. --	'never', only god knows that.
>> abiria kwanza, thumma swifu mungu. --	cross the river first, then praise god. it is not good praising a ford till a person is over.
>> abiria linda mamba. --	traveller, watch out for crocodiles. 
>> abudu mungu kwa njia ya kuabudu, ukiwa huwezi usipoteze wakati wako. --	worship god in the way of worshipping; if you cannot, do not waste your time. said of people who worship in order to show off.
>> achae asende; akweae ale. --	one who is afraid should not go; the one who climbs in the tree let that one eat. said when going hunting or fishing.
>> acha kujenga nyumba ya karatasi. --	stop building card-houses. do something that is useful
>> achanikaye kwenye mpini hafi njaa. --	the person who gets blisters from the hoe-handle will not die of hunger. a diligent worker will reap the fruits of his industry.
>> achari yalisha. --	pickles cause [the guests] to eat. a request must be couched in pleasant terms
>> achaye asende. --	the one who is afraid should not go.
>> achekaye kilema hata kwao kipo. --	 one who laughs at a cripple has a family defect too. a warning to those who laugh at the deformity of another, for they will be punished in the same way.
>> achekwaye ndiye afanikiwaye. --	the one who is laughed at is the one who suceeds.
>> achia koko, wanguwe koma. --	let go of a kernel, so that you may have the edible part. give something so that you may get something bigger in return. koma, the edible fruit of the dwarf palm.
>> achilia madiuni, na mungu akuauni. --	forgive your debtor, and god may help you [on the day of judgment].
>> adabisha mtoto awapo mdogo. --	teach a child good manners when it is still small.
>> adabu ni ustaarabu. --	good manners is civilization.
>> adabu si adhabu, faida yake yaonekana mtoto akuapo. --	good manners is not a punishment, the good of it is seen when a child grows up. used to stop a child short when it objects to rules of conduct.
>> adabu ya mtoto huwapatia sifa bora wazazi. --	a child's good manners give great credit to the parents.
>> ada ya deni: hulipa. --	the rule about debts is: they are to be paid.
>> ada ya mgeni huonyeshwa njia. --	the custom is to show the way to a stranger.
>> ada ya mja, hunena: mwungwana ni kitendo. --	"a gentleman is judged by his actions."
>> ada ya nchi kwa wenyewe ni sheria. --	a country's customs and traditions are laws for the inhabitants. a country's culture and all that goes with it, should be respected.
>> adhabu ya kaburi hujua (or aijua; aijuaye ni; ajua) maiti. --	[only] the corpse knows the torment of the grave. no one knows better where the shoe pinches than the one who wears it.
>> adhabu ya kaburi kila mtu ataiona. --	everybody will undergo the sentence of the grave. adhabu: punishment, sentence.
>> adhama ya mtu hutoka kwake mwenyewe. --	greatness and respect come from the people themselves. implied is that you become what you want to become and that if you want to be respected, begin by respecting yourself
>> adhihakiye kovu hajaona jaraha. --	one who laughs at a scar has not yet seen a wound.
>> adui aangukapo mnyanyue. --	when [your] enemy falls, lift him/her up. helping an enemy in trouble may make a friend.
>> adui akutayarishia shimo la upotevu, mungu akikuonya njia ya uwokovu. --	your enemy plots your downfall, while god shows you the road of salvation.
>> adui au rafiki hana alama. --	enemy or friend has no mark [of identification]. they look alike.
>> adui haanguki anapotupwa. --	an enemy does not fall down when discarded. the enmity remains.
>> adui mpende leo, yawezekana mkawa rafiki kesho. love an enemy today; it is possible that you might become friends tomorrow.
>> adui mpende. --	love [your] enemy. adui mpende, kumchukia ni kumchukia ndugu yako. love [your] enemy, your hating is like hating your own brother.
>> adui shujaa ni bora zaidi kuliko rafiki mwoga. --	a courageous foe is better than a cowardly friend.
>> adui ukimtahadhari mara moja, rafiki umtahadhari mara elfu moja. --	if you are careful with your enemy once, be careful with your friend a thousand times.
>> adui wa giza taa. --	the enemy of darkness is a lamp [light].
>> aendae kwa mganga hakosi jambo. --	a person who goes to the medicine doctor is never without something wrong. understood is that the doctor will always find something wrong.
>> aendao polepole atafika mbali. --	the one who goes slowly will get far.
>> aendaye polepole hana budi afikile. --	the one who walks carefully will certainly arrive.
>> aendaye polepole hana budi afikile. --	the person who walks with calm and care will arrive without fail. this proverb is illustrated by the story of the tortoise and the hare.
>> aepukaye peke yake, halengeki. --	the one who stands aside will not be hit.
>> afadhali dooteni kama ambari kutanda. --	it is better to have a little bad thing you have, than something very beautiful you don't have or possibly will have. don't desire things that cannot be had. ambari: ambergris. if eaten at high tide, while standing in much water, results in stoutness; if eaten at low tide in shallow water, results in slimming
>> afadhali kufa kama kuishi utumwani. --	it's better to die than to live in slavery. kama or kuliko, more, over, better (comparative).
>> afadhali kufa vitani kuliko kufa mtumwa. --	it's better to die in the war than to die as a slave.
>> afadhali kuvumilia joto kuliko msiba. --	it is better to suffer from the heat than from calamity.
>> afadhali kuvunja uchumba kuliko kuvunja ndoa. --	it's better to break an engagement than a marriage.
>> afadhali kuwa na jirani mchawi kuliko mwongo. --	it is better to have a wizard as a neighbor than a liar. a liar cannot be trusted; a wizard, though dangerous, can be trusted.
>> afadhali lawama ya wazi. --	 an open reproach is best. lawama: reproach, charge, blame, reproof, guilt.
>> afadhali nusu ajali kuliko ajali kamili. --	half a mishap is better than a whole one. a minor accident is better than a big one.
>> afadhali ulifanye sasa jambo lilo utakalo kwisha. --	 better do now the thing you want to finish.
>> afadhali utu kuliko kitu. --	being human is better than anything. about values.
>> afadhali ya mchawi kuliko msutaji. --	it's easier to confront a witch doctor than a slanderer. suta, confront a person who has spread an evil report about you.
>> afadhali ya musa kuliko ya farao. --	it's better to fall in the hands of moses than to fall in the hands of pharaoh
>> afanyae mzaha na watu humlazimu awe na saburi. --	 people who tease others must have patience for when they'll be teased in turn.
>> afanyaye tambiko, hutabika kwa mzimu wake. --	one who brings a sacrifice usually offers it to his own ancestor. mzimu, spirit of an ancestor.
>> afaye hakosi kuzikwa. --	the one who dies will be buried.
>> afichaye ugonjwa haponi. --	one who hides sickness will not be cured.
>> afiriti hafichiki. --	evil cannot be hidden. afriti, an evil spirit.
>> afriti hasitiki. --	an evil person cannot be stopped.
>> afua ni mbili, kufa na kupona. --	deliverance is of two kinds, dying and getting better. said to a person who is critically ill, that even death is just as good as getting better: it will end suffering
>> afuatae upotevu si mwerevu. --	one who follows destruction is not bright. upotevu, loss, impoverishment, wastefulness, immoral life.
>> afugaye ng'ombe tume mwenye ziwa la kujaza. --	one who keeps a healthy cow will have plenty of milk. he who has married a faithful wife will have good children
>> afukuzwaye hukimbilia agoni. --	one who is expelled runs to a refuge. ago: a camp.
>> afungaye kibwebwe si bure ana mchezo. --	she who ties a [broad strip of calico as a] waistbelt does not do so for nothing, she is [intent] on playing. if somebody is getting involved with something, it is clear that that person thinks it is worthwhile. 
>> afya bora na ghofira. --	health is best with god's pardon. ghofira or ghofora: [god's] pardon.
>> afya haina kima. --	health is priceless.
>> afya! kua kama mgomba. --	health, grow like a banana tree.
>> afya! kulia juu, chini ku moto. --	health! grow tall, below there is fire. grow tall! to remain small has inconveniences. said when a child sneezes.
>> afya ni baraka ya rabuka. --	good health is a blessing from your lord.
>> afya ni taji hakuna aijuaye isipokuwa mwenye maradhi. --	health is a crown and no one knows it save a sick person.
>> ahadi na mithaki ni deni katika haki. --	a promise and a vow are debts indeed. mithaki: having strength, having perfection.
>> ahadi [ni] deni. --	a promise is a debt.
>> ahadi ni deni, na deni ijuzie. --	a promise is a debt, and a debt obliges. juzia: to be obliged.
>> ahadi ni mtu, msi ahadi si mtu. --	[keeping] a promise is [being] a real human, one who does not [keep a promise] is not a real person.
>> ahadi si neno, ngoja hatima. --	a promise is nothing, wait for its fulfillment. 
>> ahadi zina sharuti. --	promises have obligations.
>> ahangaikaye sana na jua ajua. --	one who slaves in the sun knows [what he/she is doing]. does not work in vain. a person with an aim or purpose. 
>> ah! haifai maishani. --	shouts of disgust are useless in life
>> ahsante ya punda ni teke. --	the gratitude of a donkey is a kick.
>> aibu ghaibu. --	disgrace is [usually] hidden.
>> aibu, kujikwaa kisiki mara mbili. --	it is a shame to fall twice over the same stump. it is a shame to make the same mistake twice.
>> aibu ya maiti aijua mwosha. --	the corpse washer knows the shame [defects] of the deceased.
>> aingiaye baharini huogelea. --	one who goes into the sea must swim. "let the spoilt children fend for themselves in the world and they will have to learn to overcome their laziness"
>> aingiaye mwituni, atarejea na kuni. --	the person who goes to the forest will come back with firewood.
