kanda kati  -- dodoma, singida, tabora  (kanda)
kanda pwani  -- dar es salaam, lindi, morogoro, mtwara, pwani  (kanda)
kanda ziwa  -- geita, kagera, mara, mwanza, shinyanga, simiyu  (kanda)
kanda kaskazini  -- arusha, kilimanjaro, manyara, tanga  (kanda)
kanda nyanda za juu kusini  -- iringa, mbeya, njombe, rukwa, ruvuma, songwe  (kanda)
kanda magharibi  -- katavi, kigoma  (kanda)
kanda zanzibar  -- mjini magharibi, pemba north, pemba south, unguja north, unguja south  (kanda)
-------------------
arusha  -- monduli, longido, meru, arusha vijijini, arusha mjini, ngorongoro, karatu  (mkoa)
dar es salaam  -- ilala, kinondoni, temeke, kigamboni, ubungo  (mkoa)
dodoma  --  bahi, chamwino, chemba, dodoma mjini, kondoa, kondoa mjini, kongwa, mpwapwa  (mkoa)
geita  -- bukombe, chato, geita, geita mjini, mbogwe, nyang'hwale  (mkoa)
iringa  --  iringa vijijini, mufindi, kilolo, iringa mjini, mafinga mjini  (mkoa)
kagera  -- bukoba, misenyi, muleba, karagwe, ngara, biharamulo, kyerwa  (mkoa)
katavi  -- mlele, nsimbo, mpanda mjini, tanganyika, mpimbwe  (mkoa)
kigoma  -- kasulu, kibondo, kigoma vijijini, kigoma mjini, kigoma-ujiji, buhigwe, kakonko, uvinza  (mkoa)
kilimanjaro  -- hai, mwanga, moshi mjini, moshi vijijini, rombo, same, siha  (mkoa)
lindi  -- lindi mjini, mtama, kilwa, nachingwea, liwale, ruangwa  (mkoa)
manyara  -- babati vijijini, babati mjini, hanang, mbulu vijijini, mbulu mjini, simanjiro, kiteto  (mkoa)
mara  -- bunda mjini, bunda vijijini, serengeti, tarime vijijini, tarime mjini, rorya, butiama, musoma mjini, musoma vijijini  (mkoa)
mbeya  -- mbeya mjini, mbeya vijijini, rungwe, kyela, ileje, mbozi, chunya, momba, mbarali  (mkoa)
morogoro  -- gairo, kilosa, malinyi, mlimba, morogoro vijijini, morogoro mjini, mvomero, ulanga  (mkoa)
mtwara  -- mtwara mjini/mikindani, mtwara vijijini, masasi mjini, masasi, nanyamba, nanyumbu, newala mjini, newala, tandahimba  (mkoa)
mwanza  -- ukerewe, magu, sengerema, buchosa, misungwi, kwimba, nyamagana, ilemela  (mkoa)
njombe  -- njombe mjini, njombe vijijini, makambako, makete, ludewa, wanging'ombe  (mkoa)
pwani  -- bagamoyo, chalinze, kibaha mjini, kibaha vijijini, kisarawe, mkuranga, mafia, rufiji, kibiti  (mkoa)
rukwa  -- sumbawanga mjini, sumbawanga, nkasi, kalambo  (mkoa)
ruvuma  -- nyasa songea mjini, songea vijijini, tunduru, madaba, mbinga vijijini, mbinga mjini, namtumbo  (mkoa)
shinyanga  -- kahama mjini, ushetu, msalala, kishapu[1], shinyanga vijijini, shinyanga mjini  (mkoa)
simiyu  -- bariadi mjini, bariadi, busega, maswa, meatu, itilima  (mkoa)
singida  --  iramba, manyoni, singida vijijini, singida mjini, ikungi, itigi, mkalama  (mkoa)
songwe  -- tunduma, ileje, mbozi, momba, songwe  (mkoa)
tabora  -- tabora mjini, nzega vijijini, nzega mjini, igunga, uyui, urambo, sikonge, kaliua  (mkoa)
tanga  -- bumbuli, handeni vijijini, handeni mjini, kilindi, korogwe vijijini, korogwe mjini, lushoto, mkinga, muheza, pangani, tanga mjini  (mkoa)
mjini magharibi  -- jiji_la_zanzibar, magharibi_a, magharibi_b  (mkoa)
pemba kaskazini  -- wete, micheweni  (mkoa)
pemba kusini  -- mkoani, chake chake  (mkoa)
unguja kaskazini  -- unguja_a, unguja_b  (mkoa)
unguja kusini  -- kati, kusini  (mkoa)
-------------------
hifadhi ya msitu asili  -- nature forest reserve (nfr)
mashamba ya miti  -- forest plantation  (fp)
amani nfr  -- mkoa: tanga
biharamulo fp  -- mkoa: geita, kagera
buhindi fp  -- mkoa: mwanza
chome nfr  -- mkoa: pwani
iyondo mswima fp  -- mkoa: songwe
kawetire fp  -- mkoa: mbeya
kilombero fp  -- mkoa: morogoro
kipo fp  -- mkoa: iringa
korogwe fp  -- mkoa: tanga / handeni
longuza fp  -- mkoa: tanga / usambara mtns
magamba nfr  -- mkoa: tanga
mbizi fp  -- mkoa: rukwa
meru/usa fp  -- mkoa: arusha / mt meru
minziro nfr  -- mkoa: kagera
mkingu nfr  -- mkoa: tanga
morogoro fp  -- mkoa: morogoro
mpepo fp  -- mkoa: ruvuma / nyasa
mt hanang nfr  -- mkoa: manyara 
mt longido nfr  -- mkoa: arusha
mt rungwe nfr  -- mkoa: mbeya
mtibwa fp  -- mkoa: morogoro / mvomero nguu mtns
nilo nfr  -- mkoa: mbeya
north kilimanjaro fp  -- mkoa: kilimanjaro
north ruvu fp  -- mkoa: pwani / kibaha, bagamoyo
rondo nfr  -- mkoa: lindi
rubare fp  -- mkoa: kagera / bukoba
rubya fp  -- mkoa: mwanza / ukerewe
sao-hill fp  -- mkoa: iringa / mufindi
shume fp  -- mkoa: tanga / lushoto
ukaguru fp  -- mkoa: morogoro / ukaguru mtns
uluguru nfr  -- mkoa: morogoro / kidatu uluguru mtns
uzungwa scarp nfr  -- mkoa: iringa
west kilimanjaro fp  -- mkoa: kilimanjaro
wino fp  -- mkoa: ruvuma / madaba
-------------------
mashamba ya nyuki  -- national bees reserves (nbr)
malinga nbr  -- mkoa: songwe / momba
shinji nbr  -- mkoa: songwe / ileje
kwenyunga-magiri nbr  -- mkoa: tanga / handeni
kang’ata nbr  -- mkoa: tanga / handeni
mialo kwamtoro nbr  -- mkoa: dodoma / chemba
maganzemzaree nbr  -- mkoa: dodoma / chemba
songolo nbr  -- mkoa: dodoma / chemba
lebbajumbe nbr  -- mkoa: dodoma / chemba
aghondi nbr  -- mkoa: singida / manyoni
-------------------
hifadhi ya mawindo  -- hunting reserve (hr)
eneo lenye udhibiti wa wanyamapori  -- game controlled area (gca)
endulen gca  -- mkoa: arusha
handeni gca  -- mkoa: tanga
kalimawe gca  -- mkoa: singida
masailand gca  -- mkoa: manyara
kitwai gca  -- mkoa: katavi
-------------------
mapori ya akiba  -- game reserve; hifadhi ya wanyamapori (gr)
biharamulo gr  -- mkoa: geita
burigi gr  -- mkoa: kagera
ikorongo na grumet gr  -- mkoa: mara
kigosi gr  -- mkoa: simiyu
kijereshi gr  -- mkoa: simiyu
kingera-mpanya gr  -- mkoa: njombe
kipengere mpanga gr  -- mkoa: njombe
kizigo gr  -- mkoa: singida
luafi gr  -- mkoa: katavi
lukwata-lumesale gr  -- mkoa: mtwara
lukwati gr  -- mkoa: rukwa
lukwati na piti gr  -- mkoa: songwe
maswa gr  -- mkoa: simiyu
mkungunero gr  -- mkoa: dodoma
moyowosi gr  -- mkoa: manyara, kigoma
msanjesi gr  -- mkoa: mtwara
muhesi gr  -- mkoa: singida
n kahama gr  -- mkoa: shinyaga
pande gr  -- mkoa: dar es salaam
rukwa gr  -- mkoa: rukwa
rungwa gr  -- mkoa: singida
swagaswaga gr  -- mkoa: dodoma
usungu gr  -- mkoa: mbeya
uwanda gr  -- mkoa: rukwa, songwe
-------------------
hifadhi za bahari  -- marine preserve (mp)
mafia island mp  -- mkoa: pwani
tanga coelacanth mp  -- mkoa: tanga
dar es salaam mp  -- mkoa: dar es salaam
