açıkça söyle!  -- say it frankly!
adil mi?  -- is that fair?
adın ne?  -- what's your name?
affedersin, anlayamadım.  -- sorry, i could not understand.
akışına bırak  -- go with the flow
aklımda  -- on my mind
ama burayı çok sevdim  -- but i love this place
ama maalesef durum böyle  -- but that's how it is
anca dönebildim  -- i was able to return
anlaşıldı tamam  -- got it, ok
anlayabiliyor musun?  -- can you understand?
anlayamıyorum.  -- i cannot understand.
anlayışın için çok sağol, ve bu durum için gerçekten çok özür dilerim.  -- thank you so much for your understanding, and i'm really sorry for this situation.
arayabilir miyim  -- may i call you?
babası çocuğu okula götürmeli.  -- the child's father should take him to school.
bana ne olduğunu sordu.  -- he asked me what was the matter with me.
bana tutun.  -- hold on to me.
banyoya gireceğim  -- i'm going to bathroom
başka biri heyecanlı mı?  -- is anyone else excited?
başka bir taraftan  -- from another side	__ duruma başka bir taraftan bakabiliriz.
başka kim burada?  -- who else is here?
belediye başkanınızın adı ne?  -- what is the name of your mayor?
belki ben olmuştum o zaman da  -- maybe I would become also then
belki bunu kendim yapabilirdim.  -- maybe i could have done this myself.
belki de bu gerçekten olur.  -- maybe it really happens.
belki tom hatalıydı.  -- maybe tom was wrong.
ben ankara'dayken.  -- when I was in ankara.
ben ayasofya'yı ilk kez on beş yaşındayken gördüm.  -- i saw the hagia sophia for the first time when i was fifteen.
ben bir veganım.  -- i'm a vegan.
bence durum bundan ibaret.  -- i think this is the case.
ben domates yiyemem.  -- i cannot eat tomatoes.
beni daha sonra ara.  -- call me later.
ben ingilizce konuşuyorum  -- i speak english
ben türkçe öğreniyorum  -- i am learning turkish
ben yemek yapabilirim.  -- i can cook.
beraber mutlu olurduk.  -- we used to be happy together.
bilgin olsun  -- for your information	__ ama uygulaması da var. bilgin olsun.
bilmem ki  -- i do not know
bilmez miyim  -- you're telling me!, tell me about it!
bira içmeyi bırakmalıyım.  -- i should stop drinking beer.
bırakmalıyım.  -- i should quit.
biraz bekle olur mu?  -- wait a bit, okay?
biraz işler yoğun da  -- bit busy also
biri her zaman orada.  -- someone is always there.
bir irade eylemi anlamına geliyor  -- it means an act of will
birkaç arkadasıma sorayım  -- let me ask my friend
bir önerim var  -- i have a suggestion	__ birbirimize nasıl yardımcı olabileceğimize dair bir önerim var.
bir sunum yapmalısın.  -- you should do a presentation.
